aXperc75,aYsd,aYperc90,aZabsmean,aZrootms,aMsd,gMsd,Label
0.943115,0.004387,-0.292358,0.078843,0.078879,0.003023,0.622898,other
0.942871,0.003956,-0.293213,0.080732,0.08079,0.002513,0.837602,other
0.942383,0.003909,-0.296753,0.07772,0.077758,0.002664,0.679212,other
0.941895,0.003793,-0.296143,0.078765,0.078818,0.002735,0.718039,other
0.942383,0.003693,-0.297241,0.078213,0.078261,0.003013,0.678507,other
0.942871,0.004259,-0.292969,0.076968,0.077019,0.002569,0.721837,other
0.944336,0.00538,-0.291626,0.07876,0.078814,0.002879,1.051448,other
0.943115,0.003084,-0.294922,0.078311,0.07836,0.002506,0.853069,other
0.943848,0.003174,-0.292603,0.077998,0.078048,0.003051,0.733268,other
0.942383,0.00376,-0.2948,0.077598,0.077656,0.002441,0.488737,other
0.941895,0.003742,-0.296753,0.079419,0.079477,0.003022,0.650617,other
0.94165,0.004473,-0.296997,0.080317,0.080359,0.002894,0.713403,other
0.942627,0.004171,-0.292969,0.076685,0.076752,0.003198,0.782644,other
0.944824,0.003696,-0.287476,0.073525,0.073584,0.002302,0.62224,other
0.94458,0.004402,-0.286377,0.071855,0.071886,0.002557,0.587898,other
0.945557,0.00365,-0.286133,0.073564,0.073612,0.003092,0.691557,other
0.94458,0.004003,-0.288574,0.074033,0.074066,0.002831,0.732824,other
0.944824,0.004414,-0.288086,0.075181,0.075227,0.002885,0.753205,other
0.945068,0.003895,-0.285156,0.072959,0.072991,0.002827,0.785345,other
0.943115,0.004767,-0.290405,0.07666,0.076738,0.002403,0.626275,other
0.94458,0.004563,-0.287476,0.073613,0.07365,0.002671,0.805615,other
0.943115,0.003759,-0.291748,0.076064,0.076106,0.003094,0.691324,other
0.942383,0.00347,-0.294922,0.080259,0.080308,0.002265,0.938823,other
0.942383,0.004719,-0.29187,0.078765,0.078802,0.002972,0.673557,other
0.945801,0.004226,-0.284912,0.075737,0.075816,0.002676,0.851111,other
0.94458,0.004587,-0.288818,0.074502,0.074549,0.002487,0.665895,other
0.944336,0.004228,-0.287964,0.075493,0.075531,0.002519,0.839283,other
0.944092,0.004498,-0.290527,0.074575,0.074621,0.002733,0.637591,other
0.943604,0.004033,-0.293457,0.078057,0.078107,0.002735,0.842276,other
0.946777,0.012277,-0.276611,0.077769,0.077939,0.003504,0.647746,other
0.94458,0.004314,-0.289307,0.078857,0.078915,0.00257,2.414257,other
0.945557,0.004063,-0.286255,0.077861,0.077904,0.002571,1.142211,other
0.946777,0.002561,-0.281494,0.078379,0.078431,0.002503,0.531423,other
0.947266,0.009482,-0.274292,0.075957,0.076343,0.00489,0.738805,other
0.945801,0.005793,-0.281006,0.082822,0.082948,0.003465,1.720711,other
0.947266,0.007148,-0.276978,0.077891,0.077959,0.003273,1.234124,other
0.95166,0.024357,-0.25769,0.078018,0.078267,0.013238,1.735169,other
0.94458,0.00624,-0.287842,0.076123,0.076186,0.0027,4.089515,other
0.942627,0.004416,-0.293457,0.076699,0.076739,0.002388,0.612089,other
0.942139,0.003961,-0.295166,0.07668,0.076721,0.002572,0.860063,other
0.941895,0.004027,-0.298828,0.078696,0.078775,0.003896,0.585873,other
0.943848,0.005937,-0.290039,0.079521,0.079695,0.002975,0.792245,other
0.944824,0.005467,-0.289307,0.081719,0.081798,0.004167,0.634367,other
0.943115,0.004176,-0.293213,0.081021,0.081195,0.00288,0.969354,other
0.944092,0.003703,-0.291992,0.077861,0.077912,0.002834,0.997385,other
0.943848,0.004097,-0.289063,0.07897,0.079028,0.003243,0.692778,other
0.945068,0.00746,-0.285645,0.079609,0.079733,0.004551,0.657909,other
0.945068,0.00743,-0.283447,0.08376,0.083846,0.003583,1.79201,other
0.94458,0.006119,-0.283447,0.08207,0.082121,0.002969,1.117541,other
0.947021,0.007285,-0.275879,0.080825,0.080925,0.004014,1.269744,other
0.946045,0.004052,-0.282593,0.082354,0.082428,0.003162,1.295448,other
0.946777,0.00409,-0.281006,0.078032,0.078083,0.002608,0.865103,other
0.947998,0.05086,-0.277222,0.072148,0.074641,0.007197,7.595478,other
0.88916,0.019688,-0.426147,0.034536,0.038518,0.019752,5.161715,other
0.884277,0.012352,-0.449829,0.027178,0.029669,0.012661,2.825417,other
0.881104,0.008362,-0.452148,0.018833,0.020773,0.006658,1.830926,other
0.879639,0.008196,-0.45752,0.019712,0.021022,0.008306,2.478074,other
0.886963,0.027605,-0.429443,0.037339,0.043478,0.024197,6.620659,other
0.875977,0.014311,-0.459961,0.027246,0.029549,0.013138,3.362787,other
0.87085,0.007973,-0.471436,0.026245,0.026995,0.006051,1.233655,other
0.868896,0.010483,-0.474731,0.028604,0.029377,0.008801,2.537812,other
0.885742,0.021677,-0.453125,0.04811,0.051026,0.022529,4.652645,other
0.880371,0.019965,-0.450684,0.042109,0.043983,0.016582,4.372277,other
0.867188,0.010658,-0.47229,0.059019,0.059739,0.008427,2.586532,other
0.868652,0.008953,-0.476807,0.051387,0.051899,0.007565,1.674949,other
0.867188,0.007944,-0.476685,0.04855,0.048941,0.006981,1.737322,other
0.868408,0.006491,-0.476196,0.045176,0.045539,0.005155,1.247106,other
0.868164,0.008294,-0.471924,0.036719,0.037146,0.005813,2.351315,other
0.869873,0.008139,-0.473145,0.038833,0.039198,0.005178,1.332976,other
0.865234,0.005683,-0.483032,0.036011,0.036265,0.004721,0.963764,other
0.867676,0.007824,-0.476196,0.03936,0.039813,0.005793,1.273693,other
0.865234,0.010044,-0.477295,0.038335,0.03928,0.007362,2.044947,other
0.863525,0.009415,-0.480103,0.041475,0.041956,0.004735,1.500908,other
0.859375,0.008337,-0.489258,0.040474,0.041117,0.004945,1.619326,other
0.860596,0.014569,-0.483032,0.037314,0.038709,0.009079,2.321729,other
0.854736,0.011837,-0.493774,0.03895,0.040119,0.006722,2.003454,other
0.855225,0.010855,-0.494751,0.037148,0.038482,0.007616,2.129932,other
0.855957,0.020807,-0.484497,0.038169,0.04087,0.010586,4.108104,other
0.854004,0.017676,-0.490112,0.039805,0.041569,0.010445,2.801687,other
0.852539,0.011937,-0.495483,0.03751,0.038755,0.007259,1.453362,other
0.852295,0.00488,-0.504761,0.031201,0.03156,0.004551,1.185581,other
0.854736,0.005005,-0.501953,0.031064,0.031444,0.004622,1.405593,other
0.860107,0.005792,-0.493652,0.028086,0.028501,0.005222,1.129062,other
0.854736,0.004603,-0.501343,0.028364,0.028606,0.004293,0.805764,other
0.858887,0.006618,-0.492432,0.026455,0.02718,0.005961,1.310313,other
0.858643,0.00559,-0.493652,0.028042,0.028487,0.004344,1.382463,other
0.863037,0.007085,-0.487427,0.029844,0.030259,0.005146,1.419169,other
0.865967,0.01882,-0.4729,0.025498,0.028496,0.015249,6.782286,other
0.893799,0.021395,-0.441162,0.024102,0.028765,0.034205,6.345596,other
0.875977,0.008785,-0.468018,0.009243,0.0114,0.007589,2.601765,other
0.873291,0.006722,-0.469116,0.006328,0.00843,0.006015,1.72147,other
0.87085,0.006784,-0.470093,0.005542,0.006979,0.00621,1.549915,other
0.874268,0.006904,-0.46521,0.005688,0.007223,0.006432,1.333168,other
0.869141,0.006795,-0.47583,0.014092,0.015148,0.005895,1.101238,other
0.871582,0.004793,-0.475464,0.014009,0.014699,0.00618,0.739474,other
0.871094,0.00532,-0.474609,0.009683,0.010619,0.005345,1.258224,other
0.87085,0.005079,-0.474365,0.004756,0.006326,0.005638,0.537915,other
0.875977,0.020772,-0.451294,0.013755,0.017889,0.020237,5.87639,other
