Label,aXavg,aXperc25,aZperc25,aZperc50
brushing,-0.678916667,-0.92,0.385,0.715
brushing,-0.647083333,-0.875,0.45,0.68
brushing,-0.624816667,-0.8,0.42,0.66
brushing,-0.668816667,-0.85,0.44,0.65
brushing,-0.639183333,-0.795,0.36,0.62
brushing,-0.756816667,-0.93,0.39,0.56
brushing,-0.6828,-0.94,0.42,0.69
brushing,-0.7836,-1,0.3,0.64
brushing,-0.7799,-1.125,0.095,0.59
brushing,-0.639716667,-0.75,0.53,0.79
brushing,-0.6881,-0.84,0.38,0.63
brushing,-0.716016667,-0.95,0.345,0.67
brushing,-0.740383333,-0.98,0.18,0.57
brushing,-0.629483333,-0.79,0.46,0.69
brushing,-0.664816667,-0.94,0.22,0.67
brushing,-0.713716667,-0.96,0.3,0.485
other,-0.616583333,-0.87,0.12,0.44
other,-0.633466667,-0.83,0.21,0.43
other,-0.6549,-0.89,0.155,0.42
other,-0.730966667,-0.9,0.04,0.335
other,-0.677933333,-0.94,-0.075,0.335
other,-0.692466667,-0.87,-0.055,0.34
other,-0.692416667,-0.97,-0.85,-0.345
other,-0.713816667,-0.96,-0.77,-0.545
other,-0.65425,-0.975,-0.715,-0.25
other,-0.739033333,-1.02,-0.63,-0.21
other,-0.660633333,-0.955,-0.61,-0.22
other,-0.658816667,-0.915,-0.91,-0.51
other,0.520516667,0.155,-0.88,-0.565
other,0.79835,0.495,-0.66,-0.42
other,0.036066667,-0.28,0.45,0.61
other,-0.255516667,-0.28,0.43,0.53
other,-0.236366667,-0.24,0.52,0.52
other,-0.245,-0.25,0.49,0.5
other,-0.240966667,-0.24,0.48,0.48
other,-0.244033333,-0.25,0.47,0.47
other,-0.272283333,-0.28,0.49,0.49
other,-0.268283333,-0.27,0.47,0.48
other,-0.263783333,-0.27,0.47,0.47
other,-0.238283333,-0.26,0.46,0.46
other,-0.324866667,-0.24,0.44,0.5
other,-0.19635,-0.21,0.44,0.45
other,-0.189983333,-0.21,0.43,0.43
other,-0.126633333,-0.13,0.4,0.41
other,-0.120383333,-0.12,0.39,0.39
other,-0.151983333,-0.16,0.39,0.39
other,-0.259566667,-0.26,0.33,0.35
other,-0.270666667,-0.28,0.32,0.32
other,-0.26545,-0.27,0.3,0.31
other,-0.23045,-0.405,0.29,0.4
other,-0.0234,-0.05,0.53,0.54
other,-0.049116667,-0.05,0.53,0.53
other,-0.045366667,-0.05,0.53,0.54
other,-0.0486,-0.05,0.52,0.53
other,-0.049466667,-0.05,0.53,0.53
other,-0.054583333,-0.06,0.52,0.52
other,-0.055466667,-0.06,0.52,0.52
other,-0.056083333,-0.06,0.51,0.51
other,-0.056966667,-0.06,0.51,0.51
other,-0.049616667,-0.05,0.51,0.52
other,-0.049333333,-0.05,0.5,0.51
other,-0.041216667,-0.04,0.51,0.52
other,-0.030433333,-0.03,0.52,0.52
other,-0.0255,-0.03,0.52,0.52
other,-0.025,-0.03,0.52,0.52
other,-0.02715,-0.03,0.52,0.52
other,-0.02895,-0.03,0.52,0.52
other,-0.029066667,-0.03,0.51,0.52
other,-0.116116667,-0.13,0.98,0.99
other,-0.102966667,-0.13,0.98,0.99
other,-0.1279,-0.17,0.93,0.97
other,-0.103566667,-0.14,0.95,0.99
other,-0.095566667,-0.11,0.98,0.99
other,-0.10835,-0.13,0.95,0.99
other,-0.098566667,-0.12,0.92,0.97
other,-0.109433333,-0.13,0.91,0.94
other,-0.125733333,-0.19,0.84,0.89
other,-0.179183333,-0.23,0.87,0.93
other,-0.112416667,-0.14,0.88,0.95
other,-0.120316667,-0.16,0.87,0.92
other,-0.11975,-0.17,0.87,0.92
other,-0.10405,-0.15,0.84,0.86
other,-0.109666667,-0.17,0.84,0.86
other,-0.106816667,-0.13,0.85,0.86
other,-0.119166667,-0.17,0.85,0.89
other,-0.0921,-0.13,0.84,0.86
other,-0.092383333,-0.12,0.84,0.85
other,-0.197833333,-0.23,0.9,0.91
other,-0.184183333,-0.21,0.89,0.89
other,-0.185916667,-0.22,0.9,0.92
other,-0.137133333,-0.15,0.93,0.93
other,-0.144083333,-0.17,0.92,0.93
other,-0.1126,-0.12,0.93,0.94
other,-0.652366667,-1.04,-0.22,0.6
other,-0.51605,-0.9,-0.31,0.255
other,-0.518783333,-0.895,-0.675,0.155
other,-0.436133333,-0.84,-0.48,0.2
other,0.877133333,0.83,0.1,0.13
other,0.87725,0.83,0.1,0.13
other,0.880066667,0.82,0.09,0.14
